ISBN,Book_title,Category,Rental_price,Status,Author,Publisher
978-01-67890-09-8,"Oru Desathinte Katha ",Novel,20,Yes,S.K.Pottekadu,DDD
978-02-67890-09-8,Naalukettu,Novel,20,Yes,"M.T.Vasudevan Nair",EEE
978-03-67890-09-8,"Oru Sangeerthanam pole",Novel,10,Yes,"Perumbadavam Sreedharan",FFF
978-04-67890-09-8,"keenavum kannerum",History,20,Yes,"V T Bhattathiripad",GGG
978-12-67890-09-8,"Pathummayude Aadu",Novel,20,Yes,"Vaikom Muhammed Basheer",YYY
978-34-67890-09-8,Aadujeevitham,"Travel writing",10,Yes,Benyamin,ZZZ
978-45-67890-09-8,Randamoozham,Novel,10,Yes,"M.T.Vasudevan Nair",XXX
978-56-67890-09-8,"The legends of Khasak",Novel,20,Yes,0.V.Vijayan,AAA
978-78-67890-09-8,Balyakalasakhi,Novel,10,Yes,"Vaikom Muhammed Basheer",BBB
978-90-67890-09-8,"Ente Kadha",Novel,10,Yes,"Kamala Suraiyya Das",CCC
